阳痿,Disease
"勃起功能障碍,勃起机能障碍,勃起无力,阳萎,勃起不足",Alias
阴茎,Part
成年男性,Age
无传染性,Infection
非医保疾病,Insurance
男科,Department
生殖健康,Department
外生殖器检查,Checklist
前列腺B超,Checklist
阴茎超声检查,Checklist
泌乳素分泌抑制试验,Checklist
泌乳素兴奋试验,Checklist
[详细],Checklist
心理性性功能障碍,Symptom
男子性功能障碍,Symptom
雄激素过少,Symptom
精冷不育,Symptom
脉涩或结,Symptom
[详细],Symptom
nan,Complication
药物治疗、心理治疗,Treatment
[详细],Treatment
枸橼酸西地那非...,Drug
他达拉非片,Drug
[详细],Drug
1-2个月,Period
85%(一般经过有效治疗后可以缓解症状),Rate
乙肝,Disease
乙型肝炎,Alias
肝,Part
所有人群，主要见于青少年，绝大多数为10~30岁,Age
有传染性,Infection
传染科,Department
肝病,Department
乙肝病毒学指标,Checklist
凝血酶原时间,Checklist
乙肝两对半,Checklist
血清白蛋白与球蛋白比值,Checklist
血清HBsAg免疫复合物,Checklist
血清前S1蛋白,Checklist
血清前S2蛋白,Checklist
血清抗前S2蛋白,Checklist
血清免疫球蛋白M,Checklist
血清乙肝表面抗体,Checklist
转氨酶增高,Symptom
肝肿大,Symptom
乙肝表面抗原（HBsAg）阳性,Symptom
乙肝e抗原（HBeAg）阳性,Symptom
肝功能异常,Symptom
肝性脑病,Complication
肝硬化,Complication
腹膜炎,Complication
消化道出血,Complication
肺炎,Complication
[详细],Complication
药物治疗、饮食疗法,Treatment
恩替卡韦分散片,Drug
碧云砂乙肝颗粒,Drug
注射用盐酸精氨...,Drug
3-6月,Period
0.00%,Rate
癫痫,Disease
羊癫疯，羊角风,Alias
颅脑,Part
所有人群,Age
医保疾病,Insurance
神经内科,Department
贝美格诱发试验,Checklist
头颅平片,Checklist
MRI,Checklist
脑电图,Checklist
脑血流灌注断层显像,Checklist
四肢抽搐,Symptom
反复高热,Symptom
惊厥,Symptom
昏睡,Symptom
一过性昏厥,Symptom
肾衰,Complication
急性早幼粒细胞白血病,Complication
抑郁症,Complication
药物治疗,Treatment
普瑞巴林胶囊,Drug
奥卡西平片,Drug
左乙拉西坦片,Drug
>120天(需要终身治疗),Period
暂无相关资料,Rate
月经不调,Disease
月经失调,Alias
卵巢,Part
子宫,Part
女性，压力过大型，怕冷型，虚弱型，贫血型,Age
妇科,Department
盆腔和阴道B超,Checklist
宫颈癌筛查,Checklist
妇科B超,Checklist
宫腔镜,Checklist
宫颈活检,Checklist
月经量多,Symptom
月经稀少,Symptom
月经失调,Symptom
子宫出血,Symptom
小腹冷痛,Symptom
痛经,Complication
经前期综合征,Complication
多囊卵巢综合征,Complication
黄褐斑,Complication
粉刺,Complication
定坤丹,Drug
加味益母草膏,Drug
艾附暖宫丸,Drug
69%,Rate
颈椎病,Disease
颈椎退行性变，颈椎骨质增生,Alias
脊柱,Part
中、老年人,Age
",40岁以上",Age
骨科,Department
颈部活动度,Checklist
椎间孔挤压试验,Checklist
颈项强直,Checklist
臂丛牵拉试验,Checklist
上肢麻痹,Symptom
肩背痛,Symptom
颈椎痛,Symptom
头颈部活动受限,Symptom
颈部僵硬,Symptom
食管压迫型颈椎病,Complication
椎动脉型颈椎病,Complication
脊髓型颈椎病,Complication
神经根型颈椎病,Complication
颈型颈椎病,Complication
药物治疗、理疗、手术治疗、中医针灸治疗,Treatment
消痛贴膏,Drug
颈腰康胶囊,Drug
颈复康颗粒,Drug
3-6个月,Period
50%,Rate
腰肌劳损,Disease
nan,Alias
腰部,Part
长期保持坐姿者，中老年人,Age
外伤科,Department
腰背部检查,Checklist
脊柱压痛与叩击痛,Checklist
拾物试验,Checklist
腰背痛体格检查,Checklist
腰酸,Symptom
弯腰时腰痛,Symptom
劳累时腰部酸痛或胀痛,Symptom
腰酸背痛,Symptom
产育过多后腰痛,Symptom
筋膜炎,Complication
椎管狭窄症,Complication
药物治疗、物理治疗、手术治疗,Treatment
腰痛宁胶囊,Drug
腰息痛胶囊,Drug
4周,Period
80%,Rate
尿路感染,Disease
"尿感,泌尿道感染",Alias
尿道,Part
"育龄女性及绝经后妇女,糖尿病及高龄，免疫缺陷",Age
泌尿外科,Department
肾脏B超,Checklist
放射性核素肾图,Checklist
逆行肾盂造影,Checklist
泌尿系统CT,Checklist
尿路平片,Checklist
复杂性尿路感染,Symptom
肾脓肿,Symptom
反复不愈的尿道感染,Symptom
尿液混浊,Symptom
真性菌尿,Symptom
肾盂肾炎,Complication
肾炎,Complication
肾周围炎,Complication
尿路梗阻,Complication
血尿,Complication
盐酸左氧氟沙星...,Drug
盐酸头孢他美酯...,Drug
注射用盐酸左氧...,Drug
2周,Period
90%,Rate
股骨头坏死,Disease
骨蚀、股骨头无菌性坏死、股骨头缺血性坏死,Alias
大腿,Part
下肢骨,Part
中老年人,Age
中西医结合科,Department
四肢的骨和关节平片,Checklist
骨与关节MRI,Checklist
4字试验,Checklist
骨关节及软组织CT,Checklist
髋关节痛,Symptom
间歇性跛行,Symptom
大腿刺痛,Symptom
大腿肌肉萎缩,Symptom
骨关节炎,Complication
瘫痪,Complication
西医治疗、中医治疗、手术治疗,Treatment
通络生骨胶囊,Drug
硫酸氨基葡萄糖...,Drug
活血健骨片,Drug
30-100天,Period
20%,Rate
精神分裂症,Disease
心理,Part
青壮年，自卑者，工作压力大，抑郁的人大部分都会,Age
精神病科,Department
正电子发射计算机断层扫描,Checklist
颅脑MRI,Checklist
SPECT显像,Checklist
脑代谢显像,Checklist
脑蛋白质代谢显像,Checklist
幻觉,Symptom
思维破裂,Symptom
思维紊乱,Symptom
精神运动性兴奋,Symptom
色情行为,Symptom
心脏病,Complication
心力衰竭,Complication
盐酸三氟拉嗪,Drug
盐酸氟奋乃静片,Drug
卡马西平片,Drug
30天,Period
10%,Rate
早孕反应,Disease
"妊娠剧吐,妊娠反应，",Alias
鹤,Alias
全身,Part
妊娠早期孕妇,Age
产科,Department
尿酮体试验,Checklist
尿酮体,Checklist
产科B超,Checklist
尿HCG,Checklist
早孕试纸,Checklist
恶心与呕吐,Symptom
尿频,Symptom
食欲异常,Symptom
尿妊娠试验阳性,Symptom
早孕反应重,Symptom
食管穿孔,Complication
叶酸片,Drug
嗣育保胎丸,Drug
胎宝胶囊,Drug
7-14天,Period
95%,Rate
食道癌,Disease
"食管癌,膈症,噎膈",Alias
食管,Part
中老年人群,Age
肿瘤科,Department
消化内科,Department
胃部检查,Checklist
上消化道功能测定和显像,Checklist
色素内镜检查,Checklist
血清肿瘤特异性生长因子,Checklist
多药耐药基因,Checklist
梗噎,Symptom
进食困难,Symptom
吞咽困难,Symptom
吞咽障碍,Symptom
消瘦,Symptom
黄疸,Complication
吸入性肺炎,Complication
肥大性骨关节病,Complication
手术治疗、放化疗,Treatment
云芝糖肽胶囊,Drug
复方天仙胶囊,Drug
去甲斑蝥素片,Drug
1-3个月,Period
3%,Rate
麦粒肿,Disease
"针眼,眼睑炎，睑腺炎",Alias
眼,Part
青年人,Age
眼科,Department
中医科,Department
nan,Checklist
眼屎多,Symptom
眼睑脓肿,Symptom
睑结膜充血露出黄色脓块,Symptom
眼睛发红,Symptom
眼痛,Symptom
药物治疗、手术治疗,Treatment
复方磺胺甲f唑...,Drug
头孢克洛干混悬...,Drug
熊胆黄芩滴眼液,Drug
3-7天,Period
98%,Rate
鼻咽癌,Disease
石上疽,Alias
鼻,Part
中年人群,Age
耳鼻喉科,Department
颅底片,Checklist
全身显像,Checklist
鼻咽部MRI,Checklist
血清EB病毒抗体,Checklist
耳内闭塞感,Symptom
鼻内似有擤不出的鼻涕,Symptom
张口呼吸,Symptom
咽部异物感,Symptom
鼻咽腔狭窄,Symptom
放射治疗、手术治疗,Treatment
平消胶囊,Drug
鼻咽灵片,Drug
转移因子口服溶...,Drug
急性胰腺炎,Disease
胰腺炎，胰瘅,Alias
胰腺,Part
"所有人群，发生于妊娠的任何时期,以妊娠晚期及产褥期较多。",Age
肝胆外科,Department
血清淀粉酶同工酶,Checklist
血清脂肪酶,Checklist
血清抗胰腺腺泡抗体,Checklist
血清胰癌胚抗原,Checklist
血清胰腺特异性抗原,Checklist
胰源性腹痛,Symptom
突发性右上腹绞痛,Symptom
急腹症,Symptom
上腹部压痛,Symptom
清胰利胆颗粒,Drug
醋酸奥曲肽注射...,Drug
nan,Period
胆囊炎,Disease
胆,Part
肥胖且多次妊娠的妇女,Age
胆道镜,Checklist
胆囊胆道B超,Checklist
肝脏及胆囊叩诊,Checklist
肝、胆、脾CT,Checklist
血清异枸橼酸脱氢酶,Checklist
右上腹压痛,Symptom
恶心,Symptom
发烧,Symptom
腹肌紧张,Symptom
右上腹痛,Symptom
老年人胆囊炎,Complication
妊娠合并急性胆囊炎,Complication
急性胆囊炎,Complication
小儿急性胆囊炎,Complication
慢性胆囊炎,Complication
盐酸米诺环素胶...,Drug
14--30天,Period
地中海贫血,Disease
"地贫,海洋性贫血,珠蛋白生成障碍性贫血",Alias
血液血管,Part
所有人群，婴幼儿,Age
血液科,Department
儿科,Department
Hb-F碱变性试验,Checklist
骨髓象分析,Checklist
异常红细胞形态,Checklist
红细胞检查,Checklist
红细胞渗透脆性试验,Checklist
气血不足,Symptom
脾肿大,Symptom
头晕,Symptom
皮肤呈浅黄或深金黄色,Symptom
重度贫血,Symptom
贫血,Complication
肝炎,Complication
积聚,Complication
溶血,Complication
鱼鳞病片,Drug
参一胶囊,Drug
康逆胶囊,Drug
1---3个月,Period
30--60%,Rate
子宫内膜癌,Disease
"子宫体癌,子宫癌",Alias
围绝经期和绝经后女性,Age
生殖系统肿瘤检查项目,Checklist
子宫颈涂片测试,Checklist
子宫内膜活检,Checklist
子宫输卵管造影,Checklist
p53基因,Checklist
阴道出血,Symptom
阴道分泌物增多,Symptom
下腹疼痛,Symptom
下腹胀痛,Symptom
下腹部包块,Symptom
子宫肌瘤,Complication
功血,Complication
金鸡颗粒,Drug
金鸡片,Drug
金鸡胶囊,Drug
40%,Rate
动脉硬化,Disease
动脉粥样硬化,Alias
青少年时期发生，中老年时期加重、发病,Age
心血管内科,Department
心胸外科,Department
大生化检查,Checklist
血流变学检查,Checklist
动脉听诊,Checklist
动脉血气分析,Checklist
PaO2,Checklist
头痛,Symptom
心音异常,Symptom
胸痛,Symptom
动脉呈多处伸长扭曲状,Symptom
高血压,Complication
心绞痛,Complication
猝死,Complication
神经衰弱,Complication
活血通脉片,Drug
复方氨基丁酸维...,Drug
长春胺缓释胶囊,Drug
3个月,Period
70%,Rate
扁平疣,Disease
瘊子,Alias
皮肤,Part
儿童青少年，亦常见于成人。,Age
皮肤科,Department
皮肤瘙痒,Symptom
丘疹,Symptom
转移因子胶囊,Drug
十三味菥q丸,Drug
五妙水仙膏,Drug
28--42天,Period
神经衰弱,Disease
神经衰弱症，神劳,Alias
16到40岁，脑力劳动者多见,Age
心理咨询,Department
心电图,Checklist
肌电图,Checklist
脑多普勒超声,Checklist
易激惹,Symptom
易疲乏,Symptom
保持睡眠障碍性失眠,Symptom
神经官能症,Symptom
月经不调,Complication
便秘,Complication
植物神经紊乱,Complication
阳痿,Complication
拉肚子,Complication
药物治疗、情绪疗法,Treatment
天麻素胶囊,Drug
泻肝安神丸,Drug
益脑胶囊,Drug
120天,Period
20%(一般在正规综合三甲医院的典型病例治愈,Rate
尿道炎,Disease
尿道炎症,Alias
所有人群，多见于女性,Age
肾内科,Department
阴道毛滴虫检查,Checklist
眼标本的细菌学检查,Checklist
尿道口检查,Checklist
尿道分泌物检查,Checklist
尿常规,Checklist
尿道烧灼感,Symptom
尿道痒感,Symptom
白色黏液状尿,Symptom
尿道刺痒,Symptom
尿道口有白膜形成,Symptom
盆腔炎,Complication
前列腺炎,Complication
附睾炎,Complication
膀胱炎,Complication
尿道狭窄,Complication
复方石韦颗粒,Drug
磷霉素氨丁三醇...,Drug
解毒通淋丸,Drug
15-30天,Period
性欲亢进,Disease
"性欲过盛,性欲过旺",Alias
中年，青年较多发,Age
颅脑CT,Checklist
性激素六项,Checklist
迷走神经兴奋,Symptom
阴茎异常勃起,Symptom
性上瘾,Symptom
心理治疗、药物治疗,Treatment
抑亢丸,Drug
甲亢灵胶囊,Drug
甲亢灵颗粒,Drug
70-80%,Rate
哮喘,Disease
支气管哮喘,Alias
肺,Part
呼吸内科,Department
肺功能,Checklist
皮肤划痕试验,Checklist
皮内试验,Checklist
鼻煽,Symptom
喉鸣声,Symptom
干咳,Symptom
呼吸困难,Symptom
喘息,Symptom
肺气肿,Complication
气胸,Complication
肺水肿,Complication
盐酸氨溴索片,Drug
胆茶碱片,Drug
曲尼司特胶囊,Drug
15天(国内最认可的有效治疗手段的该病治疗,Period
80%(当今的治疗手段可使接近80%的哮喘患者,Rate
尿毒症,Disease
肾,Part
氨基酸,Checklist
阴离子隙,Checklist
血液生化六项,Checklist
少尿,Symptom
肾衰竭,Symptom
食欲下降,Symptom
双肾弥漫性病变,Symptom
双下肢可凹陷性水肿,Symptom
糖尿病,Complication
高钾血症,Complication
保守疗法、血液透析、腹膜透析、肾移植,Treatment
复方α-酮酸片,Drug
吗替麦考酚酯胶...,Drug
他克莫司胶囊,Drug
6个月,Period
10%(治疗后80%可以好转),Rate
流产,Disease
小产,Alias
孕龄女性，怀孕准妈妈,Age
阴道细胞学检查,Checklist
阴道镜,Checklist
阴道分泌物涂片,Checklist
缩宫素激惹试验,Checklist
先兆流产,Symptom
妊娠时伴有腹痛的阴道流血,Symptom
自发性流产,Symptom
难免流产或不可避免流产,Symptom
习惯性流产,Symptom
失血性休克,Complication
休克,Complication
败血症,Complication
盆腔结缔组织炎,Complication
手术治疗,Treatment
孕康颗粒,Drug
注射用绒促性素,Drug
维生素E软胶囊,Drug
7-30天,Period
低血压,Disease
血压过低,Alias
所有人群，经常从事较大运动量的人群如体育运动员、重体力劳动者，而体型瘦长的年轻妇,Age
动态血压监测(ABPM),Checklist
血压测量,Checklist
动态心电图,Checklist
心脏血管超声检查,Checklist
无力,Symptom
疲乏,Symptom
心前区隐痛,Symptom
蹲下起来后眼前发黑,Symptom
眩晕,Complication
尿道癌,Complication
人流后妇科病,Complication
女性尿道癌,Complication
西医药物治疗、中医治疗治疗,Treatment
注射用左卡尼汀,Drug
5-20天,Period
不孕症,Disease
"不孕不育,不孕,女性不孕",Alias
女性生殖,Part
成年人群，孕龄女性,Age
促黄体生成素,Checklist
自身免疫抗体检测,Checklist
不孕不育的免疫学检查,Checklist
不孕不育检查,Checklist
宫颈粘液相合试验,Checklist
阴道不规则出血,Symptom
阴道横隔,Complication
急性子宫内膜炎,Complication
乳腺增生,Complication
早泄,Complication
对症治疗、中医中药治疗、试管培养,Treatment
地屈孕酮片,Drug
天紫红女金胶囊,Drug
散结镇痛胶囊,Drug
2-3月,Period
一般经过特殊治疗后，95%能够治愈,Rate
肾虚,Disease
中老年人群尤其是40岁以上的人群，性生活多的男性,Age
肾功能,Checklist
性欲减退,Symptom
肾虚眩晕,Complication
肾虚腰痛,Complication
肾虚耳鸣,Complication
肾精亏虚,Complication
肾宝片,Drug
四子填精胶囊,Drug
蓉蛾益肾口服液,Drug
10-30天,Period
